	target	i02	i08	i14	i15	i06	i16	i11	i12	i07	i04	i05	i03	i13	i01	i10	i09
TBC1D1_-_37892592.23-ENST00000261439.4|TBC1D1_+_37892595.23-ENST00000261439.4++TBC1D1_-_37892592.23-ENST00000261439.4|TBC1D1_+_37892595.23-ENST00000261439.4	TBC1D1	691	214	1183	1267	261	1255	989	946	283	292	220	231	1792	701	1209	1129
MAGEE2_-_75005017.23-P1P2|MAGEE2_-_75004995.23-P1P2++MAGEE2_-_75005017.23-P1P2|MAGEE2_-_75004995.23-P1P2	MAGEE2	815	669	646	737	824	915	920	978	944	1141	1116	738	1893	503	740	744
CTNNBIP1_+_9970299.23-P1P2|CTNNBIP1_+_9970295.23-P1P2++CTNNBIP1_+_9970299.23-P1P2|CTNNBIP1_+_9970295.23-P1P2	CTNNBIP1	1035	1616	2105	1918	2051	1857	3119	2292	1846	2249	2571	1967	4636	1164	1386	1584
ALG1L_-_125655482.23-ENST00000340333.3|ALG1L_-_125655452.23-ENST00000340333.3++ALG1L_-_125655482.23-ENST00000340333.3|ALG1L_-_125655452.23-ENST00000340333.3	ALG1L	2354	1914	1919	2160	2344	1946	2285	2323	2496	2800	3453	2926	5612	1547	1556	1922
ERAP1_+_96143605.23-P1P2|ERAP1_+_96143580.23-P1P2++ERAP1_+_96143605.23-P1P2|ERAP1_+_96143580.23-P1P2	ERAP1	4621	5241	6525	5270	6194	5600	7344	7800	6270	6351	6877	7527	15668	3861	4820	4357
LGALS14_+_40195140.23-P1P2|LGALS14_+_40195103.23-P1P2++LGALS14_+_40195140.23-P1P2|LGALS14_+_40195103.23-P1P2	LGALS14	708	477	610	674	825	571	1018	948	649	915	912	994	2379	261	635	594
PRCD_-_74540441.23-P1|PRCD_+_74540479.23-P1++PRCD_-_74540441.23-P1|PRCD_+_74540479.23-P1	PRCD	1079	275	435	400	362	449	430	501	364	674	453	671	1076	914	989	875
SNUPN_+_75918041.23-P1P2|SNUPN_+_75918062.23-P1P2++SNUPN_+_75918041.23-P1P2|SNUPN_+_75918062.23-P1P2	SNUPN	1137	22	842	826	188	892	310	297	86	163	69	73	587	1091	1085	1362
FRMD7_+_131261883.23-P1P2|FRMD7_-_131261890.23-P1P2++FRMD7_+_131261883.23-P1P2|FRMD7_-_131261890.23-P1P2	FRMD7	1287	1429	1492	1022	1990	1973	925	1801	1934	2271	2661	2160	3935	1096	1131	1022
ZNF697_-_120190725.23-P1P2|ZNF697_-_120190892.23-P1P2++ZNF697_-_120190725.23-P1P2|ZNF697_-_120190892.23-P1P2	ZNF697	1512	1369	1309	1556	1966	1690	1764	1862	2293	2134	2137	1980	3625	947	1177	1396
ADK_-_75936578.23-P1|ADK_+_75936517.23-P1++ADK_-_75936578.23-P1|ADK_+_75936517.23-P1	ADK	1012	1388	1036	1178	1571	1323	1667	1430	1871	1944	1815	2011	3784	855	1017	928
GCM1_+_53013527.23-P1P2|GCM1_+_53013511.23-P1P2++GCM1_+_53013527.23-P1P2|GCM1_+_53013511.23-P1P2	GCM1	1543	1667	1521	1743	2756	1968	2455	2505	2764	2241	2284	2892	7414	1440	1159	1397
C12orf73_-_104350953.23-P1|C12orf73_-_104350938.23-P1++C12orf73_-_104350953.23-P1|C12orf73_-_104350938.23-P1	C12orf73	790	552	741	672	613	865	1167	966	1057	699	987	807	2097	439	356	453
ALDH1A3_-_101419689.23-P1|ALDH1A3_-_101419642.23-P1++ALDH1A3_-_101419689.23-P1|ALDH1A3_-_101419642.23-P1	ALDH1A3	1837	1004	1992	2114	1002	2245	1467	1395	1253	900	1028	1461	2635	1519	1828	2222
BOC_+_112930423.23-P1P2|BOC_-_112930359.23-P1P2++BOC_+_112930423.23-P1P2|BOC_-_112930359.23-P1P2	BOC	1300	1195	1286	1385	1873	1458	1552	1437	1304	1552	1738	1861	3455	971	981	1247
ACVR1B_-_52345530.23-P1P2|ACVR1B_+_52345561.23-P1P2++ACVR1B_-_52345530.23-P1P2|ACVR1B_+_52345561.23-P1P2	ACVR1B	1103	1445	1472	1755	1946	2137	2332	2475	1991	1915	1811	2575	4792	934	784	1427
PHKG1_+_56160577.23-P1P2|PHKG1_-_56160585.23-P1P2++PHKG1_+_56160577.23-P1P2|PHKG1_-_56160585.23-P1P2	PHKG1	434	9	251	366	58	326	204	156	15	69	90	65	453	385	553	649
USP39_-_85829973.23-P2|USP39_-_85830050.23-P2++USP39_-_85829973.23-P2|USP39_-_85830050.23-P2	USP39	743	853	729	1034	969	967	1408	1110	1207	1000	952	1076	2506	436	603	526
FAM227A_+_39052352.23-P1P2|FAM227A_-_39052619.23-P1P2++FAM227A_+_39052352.23-P1P2|FAM227A_-_39052619.23-P1P2	FAM227A	330	263	332	216	346	362	418	281	393	645	383	616	1291	258	205	280
HLA-F_-_29691397.23-P1P2|HLA-F_-_29691228.23-P1P2++HLA-F_-_29691397.23-P1P2|HLA-F_-_29691228.23-P1P2	HLA-F	460	417	474	407	695	640	797	821	574	763	640	955	1108	328	563	330
CHIT1_-_203198778.23-P1P2|CHIT1_-_203198733.23-P1P2++CHIT1_-_203198778.23-P1P2|CHIT1_-_203198733.23-P1P2	CHIT1	1343	1315	1147	1424	1666	1970	1797	1960	2503	2007	2111	2066	3481	1042	888	1362
FAM216A_-_110906143.23-P1P2|FAM216A_+_110906126.23-P1P2++FAM216A_-_110906143.23-P1P2|FAM216A_+_110906126.23-P1P2	FAM216A	174	194	231	119	335	359	215	335	473	487	381	518	416	186	2	286
TPP2_+_103249372.23-P1P2|TPP2_-_103249768.23-P1P2++TPP2_+_103249372.23-P1P2|TPP2_-_103249768.23-P1P2	TPP2	584	23	256	259	44	264	69	18	54	36	28	129	120	536	928	693
METTL25_-_82752347.23-P1P2|METTL25_-_82752335.23-P1P2++METTL25_-_82752347.23-P1P2|METTL25_-_82752335.23-P1P2	METTL25	1211	2010	1399	1503	1752	1475	1852	1786	1918	2004	2354	1800	3576	950	935	1354
SLC45A3_-_205649611.23-P1P2|SLC45A3_-_205649343.23-P1P2++SLC45A3_-_205649611.23-P1P2|SLC45A3_-_205649343.23-P1P2	SLC45A3	7839	10410	8645	7675	11786	8959	11019	10507	11686	12686	14277	13241	20998	7061	7066	7309
FAM181B_+_82444875.23-P1P2|FAM181B_-_82444917.23-P1P2++FAM181B_+_82444875.23-P1P2|FAM181B_-_82444917.23-P1P2	FAM181B	1992	2162	2201	2055	2386	1951	2522	2729	3525	2426	2785	2790	5143	1571	1634	1759
HPS3_+_148847490.23-P1P2|HPS3_+_148847669.23-P1P2++HPS3_+_148847490.23-P1P2|HPS3_+_148847669.23-P1P2	HPS3	1002	1926	1299	1614	1381	1421	1727	1883	1867	2202	2034	2154	3873	975	1273	1225
URGCP_-_43965944.23-P2|URGCP_-_43965901.23-P2++URGCP_-_43965944.23-P2|URGCP_-_43965901.23-P2	URGCP	1949	2656	2527	2270	3185	2523	2966	2908	3758	3545	3867	3630	6009	1634	1655	1924
C2orf81_+_74648741.23-P2|C2orf81_-_74648770.23-P2++C2orf81_+_74648741.23-P2|C2orf81_-_74648770.23-P2	C2orf81	497	695	696	790	1002	727	690	835	1149	1398	1260	1539	1986	532	348	604
OTP_+_76934313.23-P1P2|OTP_-_76934520.23-P1P2++OTP_+_76934313.23-P1P2|OTP_-_76934520.23-P1P2	OTP	792	1103	908	1128	1358	1248	1131	1962	1464	1555	1365	1575	3071	773	697	880
BCAS3_+_58755272.23-P1P2|BCAS3_-_58755641.23-P1P2++BCAS3_+_58755272.23-P1P2|BCAS3_-_58755641.23-P1P2	BCAS3	1839	1633	2092	2401	2509	2523	2769	2861	2727	2245	2826	3074	5938	1606	1916	1446
DAW1_-_228736388.23-P1P2|DAW1_-_228736382.23-P1P2++DAW1_-_228736388.23-P1P2|DAW1_-_228736382.23-P1P2	DAW1	797	931	809	881	815	1344	781	1312	1622	1967	1716	1320	3195	805	779	750
MTUS2_+_30002974.23-P1P2|MTUS2_+_30002723.23-P1P2++MTUS2_+_30002974.23-P1P2|MTUS2_+_30002723.23-P1P2	MTUS2	1835	1985	2210	2080	2229	2430	2256	2732	2241	2402	2682	3000	7255	1444	1675	1752
EBNA1BP2_-_43637779.23-P1P2|EBNA1BP2_+_43637890.23-P1P2++EBNA1BP2_-_43637779.23-P1P2|EBNA1BP2_+_43637890.23-P1P2	EBNA1BP2	484	42	241	310	13	233	17	40	60	63	108	13	373	444	746	555
TRAPPC8_-_29523060.23-P1P2|TRAPPC8_+_29523066.23-P1P2++TRAPPC8_-_29523060.23-P1P2|TRAPPC8_+_29523066.23-P1P2	TRAPPC8	1277	464	1451	1876	613	1439	1463	1104	622	808	775	486	3366	1249	1558	1777
ARHGEF37_+_148931230.23-P2|ARHGEF37_-_148931256.23-P2++ARHGEF37_+_148931230.23-P2|ARHGEF37_-_148931256.23-P2	ARHGEF37	255	365	474	606	507	798	799	617	866	605	729	544	2126	364	313	459
ZNF782_+_99616756.23-P1P2|ZNF782_-_99616786.23-P1P2++ZNF782_+_99616756.23-P1P2|ZNF782_-_99616786.23-P1P2	ZNF782	596	607	842	696	768	826	1304	972	1337	1132	1534	1290	2167	600	631	569
NPSR1_+_34697864.23-P1P2|NPSR1_+_34697917.23-P1P2++NPSR1_+_34697864.23-P1P2|NPSR1_+_34697917.23-P1P2	NPSR1	1187	1381	1044	1114	1567	1367	1206	1421	1837	1819	1633	2234	3507	817	782	777
SLC39A7_-_33168697.23-P1P2|SLC39A7_-_33168709.23-P1P2++SLC39A7_-_33168697.23-P1P2|SLC39A7_-_33168709.23-P1P2	SLC39A7	606	1	0	1	31	24	0	1	0	0	40	8	0	490	416	710
KIR2DL1_-_55281554.23-P1P2|KIR2DL1_-_55281294.23-P1P2++KIR2DL1_-_55281554.23-P1P2|KIR2DL1_-_55281294.23-P1P2	KIR2DL1	833	1187	679	956	1469	963	1147	1230	1357	1314	1780	1754	2378	666	1109	722
GGT7_-_33460660.23-P1P2|GGT7_-_33460583.23-P1P2++GGT7_-_33460660.23-P1P2|GGT7_-_33460583.23-P1P2	GGT7	1851	674	1852	1346	476	2060	1995	1917	602	591	867	681	3896	1524	1474	1527
ANKRD24_+_4198441.23-P1P2|ANKRD24_+_4198444.23-P1P2++ANKRD24_+_4198441.23-P1P2|ANKRD24_+_4198444.23-P1P2	ANKRD24	947	886	1095	942	998	1170	1457	1309	1153	1296	1284	1505	2771	767	976	825
MRRF_-_125027588.23-P1P2|MRRF_+_125027225.23-P1P2++MRRF_-_125027588.23-P1P2|MRRF_+_125027225.23-P1P2	MRRF	1289	1424	1043	1189	1397	1546	2048	1710	1809	1290	1879	1790	3848	898	1011	1124
CPXM2_-_125651219.23-P1P2|CPXM2_-_125651262.23-P1P2++CPXM2_-_125651219.23-P1P2|CPXM2_-_125651262.23-P1P2	CPXM2	1765	2696	1999	1823	2994	2182	2372	2821	3121	3291	3142	3013	7185	1894	1696	1704
TRIM29_+_119993717.23-P2|TRIM29_+_119993710.23-P2++TRIM29_+_119993717.23-P2|TRIM29_+_119993710.23-P2	TRIM29	1381	1769	2059	2273	2276	2417	2868	2507	2488	2841	2644	3635	5401	1207	1504	1464
PHF20_-_34360160.23-P1P2|PHF20_-_34359993.23-P1P2++PHF20_-_34360160.23-P1P2|PHF20_-_34359993.23-P1P2	PHF20	4094	5486	5154	5415	5870	5024	5024	6528	6538	6660	6771	6921	11424	3457	3453	3886
BAG4_-_38034375.23-P1P2|BAG4_+_38034429.23-P1P2++BAG4_-_38034375.23-P1P2|BAG4_+_38034429.23-P1P2	BAG4	1026	1307	1181	1428	2227	1466	1682	1995	2229	2522	1934	2200	4399	815	808	1066
CDH23_-_73156723.23-P1P2|CDH23_-_73156765.23-P1P2++CDH23_-_73156723.23-P1P2|CDH23_-_73156765.23-P1P2	CDH23	453	535	404	622	547	675	819	653	814	730	840	973	1818	435	546	609
MRPS16_+_75012360.23-P1P2|MRPS16_-_75012367.23-P1P2++MRPS16_+_75012360.23-P1P2|MRPS16_-_75012367.23-P1P2	MRPS16	524	165	359	655	180	533	460	394	188	230	156	161	920	415	817	657
TSNAXIP1_-_67840851.23-P1P2|TSNAXIP1_+_67840876.23-P1P2++TSNAXIP1_-_67840851.23-P1P2|TSNAXIP1_+_67840876.23-P1P2	TSNAXIP1	904	844	768	804	1022	1165	822	1352	1438	1445	1596	1403	2848	685	864	750
C4orf45_+_159956347.23-ENST00000434826.2|C4orf45_+_159956312.23-ENST00000434826.2++C4orf45_+_159956347.23-ENST00000434826.2|C4orf45_+_159956312.23-ENST00000434826.2	C4orf45	548	466	243	374	573	668	682	671	725	447	553	872	1227	328	325	606
CRYBA2_-_219858103.23-P1P2|CRYBA2_-_219858098.23-P1P2++CRYBA2_-_219858103.23-P1P2|CRYBA2_-_219858098.23-P1P2	CRYBA2	1077	1173	1531	1509	1409	2084	1874	1778	1542	1625	1679	1713	4540	849	951	1306
USPL1_-_31192127.23-P1P2|USPL1_-_31192108.23-P1P2++USPL1_-_31192127.23-P1P2|USPL1_-_31192108.23-P1P2	USPL1	387	44	207	220	1	324	38	61	16	35	21	9	123	188	614	700
FHL3_-_38471132.23-P1P2|FHL3_-_38471180.23-P1P2++FHL3_-_38471132.23-P1P2|FHL3_-_38471180.23-P1P2	FHL3	1815	1764	2346	2130	2810	2041	3013	2526	2931	1889	2774	2818	6024	1559	2164	1670
MDK_-_46403338.23-P1P2|MDK_-_46403297.23-P1P2++MDK_-_46403338.23-P1P2|MDK_-_46403297.23-P1P2	MDK	1344	1712	1385	1568	1715	2128	2122	2000	2200	2451	2309	3396	5033	1290	1063	1123
ADRM1_+_60878013.23-P1P2|ADRM1_-_60878073.23-P1P2++ADRM1_+_60878013.23-P1P2|ADRM1_-_60878073.23-P1P2	ADRM1	1701	1553	1722	1132	1841	1733	963	1256	1579	2432	2263	1884	2570	1608	1509	1463
non-targeting_00163|non-targeting_00665++non-targeting_00163|non-targeting_00665	non-targeting	1022	1453	962	1074	1436	1201	1737	1346	1593	1904	1725	1447	3839	893	1098	764
OFD1_+_13752903.23-P1P2|OFD1_+_13752934.23-P1P2++OFD1_+_13752903.23-P1P2|OFD1_+_13752934.23-P1P2	OFD1	1368	1716	1389	1809	2096	1526	1774	2347	2553	2674	2788	2402	4943	1353	1351	1478
PPP3CB_-_75255743.23-P1P2|PPP3CB_+_75255728.23-P1P2++PPP3CB_-_75255743.23-P1P2|PPP3CB_+_75255728.23-P1P2	PPP3CB	1001	312	959	1310	432	1603	893	491	520	241	443	294	1542	1013	1184	1076
HSF1_+_145515304.23-P1P2|HSF1_-_145515300.23-P1P2++HSF1_+_145515304.23-P1P2|HSF1_-_145515300.23-P1P2	HSF1	1020	238	1248	1156	305	1301	683	967	295	272	235	235	1755	700	1335	1234
KDM4D_-_94706849.23-P1P2|KDM4D_-_94706839.23-P1P2++KDM4D_-_94706849.23-P1P2|KDM4D_-_94706839.23-P1P2	KDM4D	1481	1601	1584	1597	2287	1711	1902	1619	2244	2478	2383	3101	4234	1252	1102	1431
DHRS7C_-_9694670.23-P1P2|DHRS7C_-_9694810.23-P1P2++DHRS7C_-_9694670.23-P1P2|DHRS7C_-_9694810.23-P1P2	DHRS7C	1853	2863	2456	2264	2992	2582	3142	2911	3364	3343	3690	3870	7008	1510	1638	2184
TMEM89_-_48659130.23-P1P2|TMEM89_-_48659124.23-P1P2++TMEM89_-_48659130.23-P1P2|TMEM89_-_48659124.23-P1P2	TMEM89	649	1004	928	1475	981	1449	1075	962	1070	1420	1592	1660	3066	603	432	738
MOGAT3_-_100844291.23-P1P2|MOGAT3_+_100844265.23-P1P2++MOGAT3_-_100844291.23-P1P2|MOGAT3_+_100844265.23-P1P2	MOGAT3	820	938	991	1047	1527	1284	1304	1749	1259	1394	1563	1698	2626	652	758	540
BAI2_-_32229945.23-P1P2|BAI2_+_32229880.23-P1P2++BAI2_-_32229945.23-P1P2|BAI2_+_32229880.23-P1P2	BAI2	1668	2232	1863	2196	3021	2218	2431	3309	3031	3020	3556	2858	6332	1507	2014	1677
ADCY5_+_123168382.23-P1P2|ADCY5_-_123168354.23-P1P2++ADCY5_+_123168382.23-P1P2|ADCY5_-_123168354.23-P1P2	ADCY5	2877	1826	3466	2685	2617	3234	3115	3157	2802	3345	2653	2864	7772	2918	2789	2862
non-targeting_00215|non-targeting_02292++non-targeting_00215|non-targeting_02292	non-targeting	1411	1637	1721	1240	1418	1328	1749	1761	2197	1852	2434	2295	3456	1181	997	1032
UPK3A_+_45680883.23-P1P2|UPK3A_+_45681022.23-P1P2++UPK3A_+_45680883.23-P1P2|UPK3A_+_45681022.23-P1P2	UPK3A	1985	2705	2435	2455	2926	2447	3346	2781	2880	3299	4030	3949	6787	1759	1664	1623
SLC5A2_-_31494499.23-P1|SLC5A2_-_31494496.23-P1++SLC5A2_-_31494499.23-P1|SLC5A2_-_31494496.23-P1	SLC5A2	1021	1619	1230	977	1627	1214	1441	1153	1840	1828	1837	2176	2574	856	935	645
LYSMD1_+_151138341.23-P1P2|LYSMD1_+_151138316.23-P1P2++LYSMD1_+_151138341.23-P1P2|LYSMD1_+_151138316.23-P1P2	LYSMD1	932	1314	1034	860	1349	1076	1302	1506	1767	1969	1652	2160	3113	935	821	896
NR0B1_+_30327456.23-P1P2|NR0B1_+_30327451.23-P1P2++NR0B1_+_30327456.23-P1P2|NR0B1_+_30327451.23-P1P2	NR0B1	680	908	1376	1171	1058	1258	1677	1316	1322	1009	1427	1225	3473	767	1082	1190
SCAND1_+_34542199.23-P1P2|SCAND1_-_34542391.23-P1P2++SCAND1_+_34542199.23-P1P2|SCAND1_-_34542391.23-P1P2	SCAND1	1268	1647	1269	1390	2235	2030	1894	2352	1879	1789	2289	2173	3847	1073	1017	1086
LRRN2_+_204654725.23-P1P2|LRRN2_+_204654688.23-P1P2++LRRN2_+_204654725.23-P1P2|LRRN2_+_204654688.23-P1P2	LRRN2	3469	3290	2946	3438	4061	5434	6176	5320	5496	5902	5819	7262	14005	2480	3144	3308
CDK8_+_26828515.23-P1P2|CDK8_+_26828522.23-P1P2++CDK8_+_26828515.23-P1P2|CDK8_+_26828522.23-P1P2	CDK8	940	1384	956	1060	1518	1483	1302	1726	1605	1673	1370	1984	3929	967	990	1092
KAL1_-_8700157.23-P1P2|KAL1_+_8700170.23-P1P2++KAL1_-_8700157.23-P1P2|KAL1_+_8700170.23-P1P2	KAL1	2001	2496	2293	2313	3338	2604	2612	2920	3293	3377	3358	3821	5888	1540	1886	1646
BTF3L4_+_52521967.23-P1P2|BTF3L4_+_52522155.23-P1P2++BTF3L4_+_52521967.23-P1P2|BTF3L4_+_52522155.23-P1P2	BTF3L4	2326	2891	2468	1823	2891	1949	3285	2599	2745	3120	3529	2710	5976	1244	1626	1844
CCL14_-_34313750.23-P1|CCL14_+_34313717.23-P1++CCL14_-_34313750.23-P1|CCL14_+_34313717.23-P1	CCL14	314	365	308	284	484	234	562	457	544	748	846	537	1404	316	354	426
KRT17_+_39780834.23-P1P2|KRT17_-_39780860.23-P1P2++KRT17_+_39780834.23-P1P2|KRT17_-_39780860.23-P1P2	KRT17	354	389	211	297	436	619	677	433	635	611	670	885	1431	251	254	248
ZBTB20_+_114343748.23-P1|ZBTB20_-_114343739.23-P1++ZBTB20_+_114343748.23-P1|ZBTB20_-_114343739.23-P1	ZBTB20	899	1032	904	1139	1263	1992	1327	1875	1480	1737	1161	1650	3151	798	868	787
WDR46_+_33256781.23-P1P2|WDR46_+_33256771.23-P1P2++WDR46_+_33256781.23-P1P2|WDR46_+_33256771.23-P1P2	WDR46	192	19	125	126	17	161	22	80	4	0	0	0	64	315	533	480
KHDRBS2_+_62996055.23-P1P2|KHDRBS2_+_62996060.23-P1P2++KHDRBS2_+_62996055.23-P1P2|KHDRBS2_+_62996060.23-P1P2	KHDRBS2	679	957	818	1002	1673	966	1368	1064	1381	1507	1289	1350	2616	791	787	765
ITGA4_+_182322245.23-P1P2|ITGA4_-_182322158.23-P1P2++ITGA4_+_182322245.23-P1P2|ITGA4_-_182322158.23-P1P2	ITGA4	933	99	689	799	219	1123	422	301	40	87	165	154	852	769	1040	1383
WTAP_-_160148592.23-P1P2|WTAP_-_160148580.23-P1P2++WTAP_-_160148592.23-P1P2|WTAP_-_160148580.23-P1P2	WTAP	675	218	496	454	283	1022	1013	804	440	416	604	614	1762	677	854	804
KCNC3_+_50836737.23-P2|KCNC3_+_50836747.23-P2++KCNC3_+_50836737.23-P2|KCNC3_+_50836747.23-P2	KCNC3	2478	2284	2796	2733	3462	2659	3002	2724	3761	3561	4107	3729	5494	1946	1833	2369
LYRM1_+_20912104.23-P1P2|LYRM1_+_20912159.23-P1P2++LYRM1_+_20912104.23-P1P2|LYRM1_+_20912159.23-P1P2	LYRM1	3912	2614	5421	6251	2924	4863	5975	5900	3002	3400	3570	2943	13029	3778	4082	4836
C6orf120_-_170102392.23-P1P2|C6orf120_+_170102456.23-P1P2++C6orf120_-_170102392.23-P1P2|C6orf120_+_170102456.23-P1P2	C6orf120	402	336	312	313	346	444	368	450	407	522	435	576	1010	354	276	364
COL20A1_-_61924594.23-P1P2|COL20A1_-_61924624.23-P1P2++COL20A1_-_61924594.23-P1P2|COL20A1_-_61924624.23-P1P2	COL20A1	1973	2628	1758	2313	2231	2280	2401	2681	2977	3323	3802	3496	6099	1495	1943	2189
MTIF2_-_55496337.23-P1P2|MTIF2_-_55496372.23-P1P2++MTIF2_-_55496337.23-P1P2|MTIF2_-_55496372.23-P1P2	MTIF2	1665	536	1554	1318	533	1466	1177	1094	654	733	775	719	2269	1107	871	1338
CD86_-_121796768.23-P2|CD86_-_121796926.23-P2++CD86_-_121796768.23-P2|CD86_-_121796926.23-P2	CD86	1120	1030	1202	1044	1217	1197	1348	1549	1219	1213	1823	1686	3276	899	936	1229
FZD6_+_104311147.23-P1P2|FZD6_-_104311117.23-P1P2++FZD6_+_104311147.23-P1P2|FZD6_-_104311117.23-P1P2	FZD6	719	811	705	554	912	722	991	710	1182	1324	909	1336	2684	368	526	513
DYNC1I1_-_95402116.23-P1P2|DYNC1I1_+_95402004.23-P1P2++DYNC1I1_-_95402116.23-P1P2|DYNC1I1_+_95402004.23-P1P2	DYNC1I1	1492	2233	2604	1824	2316	2093	2355	2517	2186	2334	2866	2944	5694	1657	1012	1990
IGF1_+_102874279.23-P1P2|IGF1_-_102874133.23-P1P2++IGF1_+_102874279.23-P1P2|IGF1_-_102874133.23-P1P2	IGF1	174	106	69	91	123	246	362	320	188	104	201	217	609	100	173	122
ZFC3H1_+_72057599.23-P1P2|ZFC3H1_-_72057382.23-P1P2++ZFC3H1_+_72057599.23-P1P2|ZFC3H1_-_72057382.23-P1P2	ZFC3H1	983	537	1285	1078	785	1356	1294	1163	605	867	822	792	2587	860	1079	1208
TSSK6_-_19626774.23-P1P2|TSSK6_+_19626896.23-P1P2++TSSK6_-_19626774.23-P1P2|TSSK6_+_19626896.23-P1P2	TSSK6	311	550	232	243	650	532	376	540	689	398	784	328	790	251	284	302
CORIN_-_47840051.23-P1P2|CORIN_-_47840043.23-P1P2++CORIN_-_47840051.23-P1P2|CORIN_-_47840043.23-P1P2	CORIN	800	717	1029	1207	1162	1188	1231	1551	1106	1127	1223	1269	2528	805	687	841
LRP5_+_68080451.23-P1P2|LRP5_-_68080086.23-P1P2++LRP5_+_68080451.23-P1P2|LRP5_-_68080086.23-P1P2	LRP5	2858	1310	2600	2635	1685	2259	2256	2018	1549	1809	1966	1662	4650	1490	2038	2161
NT5DC1_+_116422051.23-P1P2|NT5DC1_+_116422038.23-P1P2++NT5DC1_+_116422051.23-P1P2|NT5DC1_+_116422038.23-P1P2	NT5DC1	1731	1908	1808	1339	2268	1979	1922	1751	1998	2096	2549	2785	5536	1231	1441	1653
MRPL55_-_228296929.23-P1P2|MRPL55_-_228296953.23-P1P2++MRPL55_-_228296929.23-P1P2|MRPL55_-_228296953.23-P1P2	MRPL55	1254	290	1166	1286	370	1622	687	533	369	315	268	203	1369	1152	1262	1736
ZNF329_-_58662123.23-P1|ZNF329_-_58662101.23-P1++ZNF329_-_58662123.23-P1|ZNF329_-_58662101.23-P1	ZNF329	746	771	500	616	1115	673	693	600	888	1121	1165	1015	1733	507	315	676
DDN_+_49393129.23-P1P2|DDN_+_49393144.23-P1P2++DDN_+_49393129.23-P1P2|DDN_+_49393144.23-P1P2	DDN	7736	10649	9403	9857	10799	10665	11918	11942	11256	13401	13826	14343	27245	6623	7038	7691
OR10AG1_+_55735935.23-ENST00000312345.2|OR10AG1_-_55735810.23-ENST00000312345.2++OR10AG1_+_55735935.23-ENST00000312345.2|OR10AG1_-_55735810.23-ENST00000312345.2	OR10AG1	517	866	891	895	1107	753	916	1052	1234	1160	1583	1489	2124	644	664	580
B3GALT5_+_41029244.23-ENST00000380618.1|B3GALT5_+_41029614.23-ENST00000380618.1++B3GALT5_+_41029244.23-ENST00000380618.1|B3GALT5_+_41029614.23-ENST00000380618.1	B3GALT5	1067	883	1194	1016	1221	1289	1743	1404	1262	1628	1404	1778	3433	625	874	911
LY96_+_74903968.23-P1P2|LY96_+_74903948.23-P1P2++LY96_+_74903968.23-P1P2|LY96_+_74903948.23-P1P2	LY96	779	1302	968	1298	1177	1059	1663	1392	1361	1569	1425	1269	3672	913	453	828
FUNDC2_-_154255407.23-P1P2|FUNDC2_-_154255413.23-P1P2++FUNDC2_-_154255407.23-P1P2|FUNDC2_-_154255413.23-P1P2	FUNDC2	429	1	26	10	44	66	19	0	26	0	1	20	10	343	482	663
C10orf2_-_102747330.23-P1P2|C10orf2_-_102747356.23-P1P2++C10orf2_-_102747330.23-P1P2|C10orf2_-_102747356.23-P1P2	C10orf2	1338	359	1000	934	432	844	703	762	390	353	334	345	1366	1090	1156	1036
CEBPZ_+_37458499.23-P1P2|CEBPZ_+_37458694.23-P1P2++CEBPZ_+_37458499.23-P1P2|CEBPZ_+_37458694.23-P1P2	CEBPZ	616	8	159	341	107	270	65	76	20	29	90	9	253	470	1089	761
FES_+_91427657.23-P1P2|FES_+_91427765.23-P1P2++FES_+_91427657.23-P1P2|FES_+_91427765.23-P1P2	FES	345	418	430	378	698	456	467	495	621	695	536	499	1432	365	409	511
CYP3A4_-_99381782.23-P1P2|CYP3A4_-_99381692.23-P1P2++CYP3A4_-_99381782.23-P1P2|CYP3A4_-_99381692.23-P1P2	CYP3A4	596	758	547	611	723	750	928	806	1024	971	837	1182	2166	400	621	415
DNAAF1_-_84178924.23-P1P2|DNAAF1_-_84178933.23-P1P2++DNAAF1_-_84178924.23-P1P2|DNAAF1_-_84178933.23-P1P2	DNAAF1	888	959	877	953	1128	1361	1876	1431	1639	1233	1578	1351	3257	608	801	896
NBR1_+_41323238.23-P1P2|NBR1_-_41323253.23-P1P2++NBR1_+_41323238.23-P1P2|NBR1_-_41323253.23-P1P2	NBR1	339	380	376	351	363	411	409	272	415	392	504	524	1100	260	285	247
ACTR3_+_114648069.23-P1P2|ACTR3_+_114648124.23-P1P2++ACTR3_+_114648069.23-P1P2|ACTR3_+_114648124.23-P1P2	ACTR3	765	219	665	779	365	976	583	673	337	228	325	345	1464	893	1199	1245
VPS18_-_41186699.23-P1P2|VPS18_-_41187068.23-P1P2++VPS18_-_41186699.23-P1P2|VPS18_-_41187068.23-P1P2	VPS18	1319	960	938	965	1308	1366	1598	1686	1262	1468	1639	1392	3248	969	1212	1559
TBC1D10B_+_30381740.23-P1P2|TBC1D10B_-_30381594.23-P1P2++TBC1D10B_+_30381740.23-P1P2|TBC1D10B_-_30381594.23-P1P2	TBC1D10B	809	713	401	266	666	559	583	557	633	781	837	588	1418	587	787	897
